Longitud,Latitud,Elevacion
-71.99560527835399,-13.52349854696832,3521.0
-71.99563846703994,-13.52349707022248,3521.0
-71.99566731409324,-13.52350166060849,3521.0
-71.99569557351337,-13.52349599864456,3521.0
-71.9957238893752,-13.5234903248342,3521.0
-71.99573835603643,-13.52349262472997,3521.0
-71.99577230735238,-13.52350141754772,3521.0
-71.9957867825508,-13.52350371849056,3521.0
-71.99582574058738,-13.52351670242795,3521.0
-71.9958547091021,-13.52352130997838,3515.0
-71.99587870556347,-13.52352173088702,3515.0
-71.99590815512765,-13.52353659869556,3515.0
-71.9959421272094,-13.52354539674359,3515.0
-71.99597113531021,-13.52355001316397,3515.0
-71.99600015902679,-13.52355463249477,3515.0
-71.99602919872504,-13.52355925391079,3515.0
-71.99605363392187,-13.52356992969989,3515.0
-71.99607805626262,-13.52358059903443,3515.0
-71.9961071074045,-13.52358522586318,3515.0
-71.996136174714,-13.52358985560079,3515.0
-71.99616546799433,-13.52359426776068,3515.0
-71.99619515982647,-13.52359829274911,3515.0
-71.99622007145268,-13.52360845618732,3515.0
-71.99624961163826,-13.52360227480296,3515.0
-71.99627455117493,-13.52361245111491,3515.0
-71.99630899402803,-13.52361057781903,3515.0
-71.99633862393833,-13.52361483263688,3515.0
-71.99637309891432,-13.52361303439796,3515.0
-71.99640764284679,-13.52361123170129,3515.0
-71.99644225510019,-13.52360942599411,3515.0
-71.99647204622677,-13.52361369538109,3515.0
-71.9965117782517,-13.52361599885219,3515.0
-71.99655151374058,-13.52360810333004,3515.0
-71.99658139624697,-13.5236021659169,3515.0
-71.99661136851779,-13.52360644947286,3515.0
-71.99664637324808,-13.52360462866588,3515.0
-71.99668144786615,-13.52360280449105,3515.0
-71.99671159054519,-13.52359683961123,3515.0
-71.99674172952764,-13.52360113559671,3515.0
-71.99677709167443,-13.52358901615422,3515.0
-71.99680744816874,-13.52358301494952,3515.0
-71.99683773046429,-13.52358731905985,3515.0
-71.99686402702248,-13.52357648159697,3515.0
-71.9969011470231,-13.5235631724753,3515.0
-71.99693181198927,-13.52355711284131,3515.0
-71.99696080556119,-13.52354218202194,3515.0
-71.99698430464213,-13.52351320589795,3515.0
-71.9970035890948,-13.52349987930705,3515.0
-71.99702993813028,-13.52346651438611,3515.0
-71.99704631448736,-13.52344519630325,3515.0
-71.99706271243079,-13.52342384993072,3515.0
-71.99707913143517,-13.52340247591025,3515.0
-71.99708995254413,-13.52337730570507,3515.0
-71.99710078729841,-13.52335210422328,3515.0
-71.99711163601162,-13.52332687017935,3515.0
-71.99711123702484,-13.52329405794129,3515.0
-71.99711083712917,-13.52326120752876,3515.0
-71.99711043763816,-13.52322831748026,3515.0
-71.99710590779254,-13.52320079227068,3515.0
